mol_name,activity,potency
CHEMBL1201010,Inactive,2
CHEMBL1201117,Inactive,2
CHEMBL1201139,Inactive,2
CHEMBL1201193,Inactive,2
CHEMBL1201207,Inactive,2
CHEMBL1201220,Inactive,2
CHEMBL1201356,Inactive,2
CHEMBL1208572,Inactive,2
CHEMBL121,Inactive,2
CHEMBL12131,Inactive,2
CHEMBL1231,Inactive,2
CHEMBL1231107,Inactive,2
CHEMBL123292,Inactive,2
CHEMBL1236282,Inactive,2
CHEMBL1237,Inactive,2
CHEMBL1237044,Inactive,2
CHEMBL1243,Inactive,2
CHEMBL1255834,Inactive,2
CHEMBL1255837,Inactive,2
CHEMBL1255901,Inactive,2
CHEMBL1256017,Inactive,2
CHEMBL1262,Inactive,2
CHEMBL127516,Inactive,2
CHEMBL1276308,Inactive,2
CHEMBL128,Inactive,2
CHEMBL1282,Inactive,2
CHEMBL1289,Inactive,2
CHEMBL12948,Inactive,2
CHEMBL13,Inactive,2
CHEMBL1308,Inactive,2
CHEMBL133434,Inactive,2
CHEMBL133834,Inactive,2
CHEMBL134,Inactive,2
CHEMBL134342,Inactive,2
CHEMBL1349,Inactive,2
CHEMBL135,Inactive,2
CHEMBL1365675,Inactive,2
CHEMBL1370,Inactive,2
CHEMBL1370561,Inactive,2
CHEMBL1371,Inactive,2
CHEMBL1371125,Inactive,2
CHEMBL1373,Inactive,2
CHEMBL1381098,Inactive,2
CHEMBL1385840,Inactive,2
CHEMBL1395,Inactive,2
CHEMBL139835,Inactive,2
CHEMBL1400945,Inactive,2
CHEMBL14053,Inactive,2
CHEMBL141343,Inactive,2
CHEMBL1419,Inactive,2
CHEMBL1430,Inactive,2
CHEMBL1433,Inactive,2
CHEMBL1440,Inactive,2
CHEMBL1447,Inactive,2
CHEMBL1454946,Inactive,2
CHEMBL1456,Inactive,2
CHEMBL1460,Inactive,2
CHEMBL146964,Inactive,5.31
CHEMBL1477,Active,8.297
CHEMBL1480,Inactive,2
CHEMBL1487,Active,8.134
CHEMBL1489254,Inactive,2
CHEMBL1496,Active,8.241
CHEMBL1502,Inactive,2
CHEMBL1503,Inactive,2
CHEMBL1512,Inactive,2
CHEMBL151437,Active,8.097
CHEMBL1515,Inactive,2
CHEMBL153062,Inactive,2
CHEMBL153479,Inactive,2
CHEMBL1537,Inactive,2
CHEMBL1539,Inactive,2
CHEMBL1540,Inactive,2
CHEMBL15511,Inactive,2
CHEMBL1554,Inactive,2
CHEMBL1566249,Inactive,2
CHEMBL157101,Inactive,2
CHEMBL158,Inactive,2
CHEMBL1586,Inactive,2
CHEMBL159,Inactive,2
CHEMBL159103,Active,8.301
CHEMBL1598608,Inactive,2
CHEMBL1601669,Inactive,2
CHEMBL1612004,Inactive,2
CHEMBL1614641,Inactive,2
CHEMBL1618305,Inactive,2
CHEMBL163,Inactive,2
CHEMBL1630579,Inactive,2
CHEMBL1643,Inactive,2
CHEMBL1651906,Inactive,2
CHEMBL165790,Inactive,2
CHEMBL1660,Inactive,2
CHEMBL1670,Inactive,2
CHEMBL167911,Inactive,2
CHEMBL169046,Active,6.333
CHEMBL1697694,Inactive,2
CHEMBL1727,Inactive,2
CHEMBL1729,Inactive,5.472
CHEMBL174,Inactive,2
CHEMBL1741,Inactive,2
CHEMBL1751,Inactive,2
CHEMBL1752,Inactive,2
CHEMBL1753,Inactive,2
CHEMBL1754,Inactive,2
CHEMBL1771,Inactive,2
CHEMBL181,Inactive,2
CHEMBL182,Inactive,2
CHEMBL184,Inactive,2
CHEMBL184618,Inactive,2
CHEMBL189,Inactive,2
CHEMBL189171,Inactive,2
CHEMBL1902981,Inactive,2
CHEMBL1909049,Inactive,2
CHEMBL1909070,Inactive,2
CHEMBL1909076,Inactive,2
CHEMBL191,Inactive,2
CHEMBL19215,Inactive,2
CHEMBL19224,Inactive,2
CHEMBL195437,Inactive,2
CHEMBL2,Inactive,2
CHEMBL203266,Inactive,2
CHEMBL20883,Inactive,2
CHEMBL21,Inactive,2
CHEMBL2103747,Inactive,2
CHEMBL2105617,Inactive,2
CHEMBL2105807,Inactive,2
CHEMBL2106399,Inactive,2
CHEMBL2107687,Inactive,2
CHEMBL2107797,Inactive,2
CHEMBL2111268,Active,7.046
CHEMBL211501,Inactive,2
CHEMBL2203595,Inactive,4.664
CHEMBL221753,Inactive,2
CHEMBL221886,Inactive,2
CHEMBL2220442,Active,7.848
CHEMBL2221249,Inactive,2
CHEMBL222863,Inactive,2
CHEMBL2252949,Inactive,2
CHEMBL227934,Inactive,2
CHEMBL2347005,Inactive,2
CHEMBL234926,Inactive,2
CHEMBL2367470,Active,7.77
CHEMBL2368190,Active,8.319
CHEMBL2368191,Active,8.022
CHEMBL2368198,Active,7.301
CHEMBL2368199,Active,8.301
CHEMBL2368200,Active,8
CHEMBL2368205,Active,7.699
CHEMBL245416,Inactive,2
CHEMBL248702,Inactive,2
CHEMBL252557,Inactive,2
CHEMBL254219,Inactive,2
CHEMBL261621,Inactive,5.75
CHEMBL261748,Inactive,4.278
CHEMBL267345,Inactive,2
CHEMBL267744,Inactive,2
CHEMBL267894,Inactive,2
CHEMBL269732,Inactive,2
CHEMBL273348,Inactive,2
CHEMBL276717,Inactive,5.889
CHEMBL276832,Inactive,2
CHEMBL277474,Inactive,2
CHEMBL27769,Inactive,2
CHEMBL28079,Inactive,2
CHEMBL286398,Inactive,2
CHEMBL290106,Inactive,2
CHEMBL291338,Inactive,2
CHEMBL293492,Inactive,2
CHEMBL294199,Inactive,2
CHEMBL295416,Inactive,2
CHEMBL3,Inactive,2
CHEMBL30,Inactive,2
CHEMBL30008,Inactive,2
CHEMBL302795,Inactive,2
CHEMBL303515,Active,7.699
CHEMBL3039597,Inactive,2
CHEMBL3084803,Inactive,2
CHEMBL31,Inactive,2
CHEMBL321768,Active,8.252
CHEMBL323344,Inactive,2
CHEMBL323880,Inactive,5.654
CHEMBL32749,Inactive,2
CHEMBL33,Inactive,2
CHEMBL3349544,Active,7.917
CHEMBL3349824,Active,7.876
CHEMBL3349825,Active,7.706
CHEMBL3349827,Active,8.119
CHEMBL3350037,Inactive,2
CHEMBL34259,Inactive,2
CHEMBL34431,Inactive,2
CHEMBL3545252,Inactive,2
CHEMBL36715,Inactive,2
CHEMBL3704923,Active,7.269
CHEMBL374478,Inactive,2
CHEMBL376180,Inactive,2
CHEMBL38,Inactive,2
CHEMBL384467,Inactive,2
CHEMBL386630,Inactive,2
CHEMBL38737,Inactive,2
CHEMBL388590,Inactive,2
CHEMBL395110,Inactive,2
CHEMBL398440,Inactive,2
CHEMBL3985556,Active,9
CHEMBL3986260,Inactive,3.412
CHEMBL4,Inactive,2
CHEMBL40,Inactive,2
CHEMBL403,Inactive,2
CHEMBL404520,Inactive,2
CHEMBL407030,Inactive,2
CHEMBL409841,Inactive,4.349
CHEMBL411,Inactive,2
CHEMBL411443,Inactive,4.385
CHEMBL41543,Inactive,2
CHEMBL415690,Inactive,2
CHEMBL416,Inactive,2
CHEMBL417,Inactive,2
CHEMBL42,Inactive,2
CHEMBL420,Inactive,2
CHEMBL4213010,Inactive,2
CHEMBL4243267,Inactive,2
CHEMBL428,Inactive,2
CHEMBL429,Inactive,2
CHEMBL434,Inactive,2
CHEMBL435,Inactive,2
CHEMBL437,Inactive,2
CHEMBL437002,Inactive,2
CHEMBL44,Inactive,2
CHEMBL441687,Inactive,2
CHEMBL444633,Inactive,2
CHEMBL445206,Inactive,2
CHEMBL44618,Inactive,2
CHEMBL447,Inactive,2
CHEMBL44814,Inactive,2
CHEMBL448462,Inactive,5.155
CHEMBL45,Inactive,2
CHEMBL450895,Inactive,2
CHEMBL452861,Inactive,2
CHEMBL456807,Inactive,2
CHEMBL460499,Inactive,2
CHEMBL461727,Inactive,2
CHEMBL4639024,Inactive,2
CHEMBL4645080,Inactive,2
CHEMBL467,Inactive,2
CHEMBL469912,Inactive,2
CHEMBL476,Inactive,2
CHEMBL479,Inactive,2
CHEMBL482601,Inactive,5.523
CHEMBL48449,Inactive,2
CHEMBL486985,Inactive,4.52
CHEMBL487720,Active,7.921
CHEMBL489540,Active,6.301
CHEMBL49080,Inactive,2
CHEMBL493,Inactive,2
CHEMBL495778,Inactive,2
CHEMBL499,Inactive,2
CHEMBL499815,Inactive,2
CHEMBL501307,Inactive,5.523
CHEMBL502620,Inactive,2
CHEMBL502896,Inactive,2
CHEMBL504760,Inactive,2
CHEMBL506,Inactive,2
CHEMBL506247,Inactive,5.505
CHEMBL509,Inactive,2
CHEMBL510139,Inactive,2
CHEMBL511,Inactive,2
CHEMBL513,Inactive,2
CHEMBL514,Inactive,2
CHEMBL515914,Inactive,2
CHEMBL516,Inactive,2
CHEMBL521,Inactive,2
CHEMBL52440,Inactive,2
CHEMBL526,Inactive,2
CHEMBL529,Inactive,2
CHEMBL532,Inactive,2
CHEMBL534,Inactive,2
CHEMBL54,Inactive,2
CHEMBL54440,Active,7.316
CHEMBL553025,Inactive,2
CHEMBL558,Inactive,2
CHEMBL562,Inactive,2
CHEMBL563,Inactive,2
CHEMBL56337,Inactive,2
CHEMBL564,Inactive,2
CHEMBL567597,Inactive,2
CHEMBL569,Inactive,2
CHEMBL57,Inactive,2
CHEMBL578,Inactive,2
CHEMBL580,Inactive,2
CHEMBL584,Inactive,2
CHEMBL593686,Inactive,4.34
CHEMBL595754,Inactive,3.444
CHEMBL595988,Inactive,4.205
CHEMBL6,Inactive,2
CHEMBL600325,Inactive,2
CHEMBL603,Inactive,2
CHEMBL606359,Inactive,4.59
CHEMBL606813,Inactive,5.159
CHEMBL608,Inactive,2
CHEMBL608986,Inactive,5.149
CHEMBL61,Inactive,2
CHEMBL611,Inactive,2
CHEMBL629,Inactive,2
CHEMBL632,Inactive,2
CHEMBL63323,Inactive,2
CHEMBL64,Inactive,2
CHEMBL642,Inactive,2
CHEMBL6466,Inactive,2
CHEMBL648,Inactive,2
CHEMBL649,Inactive,2
CHEMBL650,Inactive,2
CHEMBL65037,Active,6.959
CHEMBL659,Inactive,2
CHEMBL661,Inactive,2
CHEMBL672,Inactive,2
CHEMBL679,Inactive,2
CHEMBL683,Inactive,2
CHEMBL685,Inactive,2
CHEMBL686,Inactive,2
CHEMBL696,Inactive,2
CHEMBL6966,Inactive,2
CHEMBL701,Inactive,2
CHEMBL702,Inactive,2
CHEMBL70927,Inactive,2
CHEMBL71,Inactive,2
CHEMBL710,Inactive,2
CHEMBL711,Inactive,2
CHEMBL715,Inactive,2
CHEMBL717,Inactive,2
CHEMBL720,Inactive,2
CHEMBL727,Inactive,2
CHEMBL728,Inactive,2
CHEMBL741,Inactive,2
CHEMBL742,Inactive,2
CHEMBL744,Inactive,2
CHEMBL74667,Inactive,5
CHEMBL748,Inactive,2
CHEMBL75,Inactive,2
CHEMBL7568,Inactive,2
CHEMBL757,Inactive,2
CHEMBL75880,Inactive,2
CHEMBL762,Inactive,2
CHEMBL76904,Inactive,2
CHEMBL79,Inactive,2
CHEMBL8,Inactive,2
CHEMBL803,Inactive,2
CHEMBL808,Inactive,2
CHEMBL809,Inactive,2
CHEMBL817,Inactive,2
CHEMBL81977,Inactive,2
CHEMBL820,Inactive,2
CHEMBL833,Inactive,2
CHEMBL838,Inactive,2
CHEMBL841,Inactive,2
CHEMBL85,Inactive,2
CHEMBL852,Inactive,2
CHEMBL86,Inactive,2
CHEMBL865,Inactive,2
CHEMBL870,Inactive,2
CHEMBL877,Inactive,2
CHEMBL88,Inactive,2
CHEMBL880,Inactive,2
CHEMBL888,Inactive,2
CHEMBL891,Inactive,2
CHEMBL895,Inactive,2
CHEMBL897,Inactive,2
CHEMBL898,Inactive,2
CHEMBL90555,Inactive,2
CHEMBL923,Inactive,2
CHEMBL92401,Inactive,2
CHEMBL926,Inactive,2
CHEMBL932,Inactive,2
CHEMBL93645,Inactive,2
CHEMBL9419,Inactive,2
CHEMBL95764,Inactive,2
CHEMBL959,Inactive,2
CHEMBL960,Inactive,2
CHEMBL972,Inactive,2
CHEMBL976,Inactive,2
CHEMBL989,Inactive,2
CHEMBL991,Inactive,2
CHEMBL998,Inactive,2
BDB50007277,Active,8.38721614328026
BDB50007286,Active,7.30102999566398
BDB50013210,Active,10.8538719643218
BDB50160720,Active,7.62893213772826
BDB50215667,Active,8.45593195564972
BDB50215675,Active,8.52287874528034
BDB50215678,Active,8.32790214206428
BDB50215703,Active,8.50863830616573
BDB50279858,Active,8.52287874528034
ZINC00692711,Inactive,
ZINC00695539,Inactive,
ZINC00735544,Inactive,
ZINC00825240,Inactive,
ZINC00846682,Inactive,
ZINC00920383,Inactive,
ZINC00962960,Inactive,
ZINC00980639,Inactive,
ZINC01134474,Inactive,
ZINC01237234,Inactive,
ZINC01254014,Inactive,
ZINC01397132,Inactive,
ZINC01442079,Inactive,
ZINC01617897,Inactive,
ZINC01631758,Inactive,
ZINC01660723,Inactive,
ZINC02088612,Inactive,
ZINC02140024,Inactive,
ZINC02146144,Inactive,
ZINC02150096,Inactive,
ZINC02234033,Inactive,
ZINC02313639,Inactive,
ZINC02387946,Inactive,
ZINC02495666,Inactive,
ZINC02588288,Inactive,
ZINC02637059,Inactive,
ZINC02655313,Inactive,
ZINC02818808,Inactive,
ZINC02852384,Inactive,
ZINC02853264,Inactive,
ZINC02932738,Inactive,
ZINC02932781,Inactive,
ZINC02948784,Inactive,
ZINC02948818,Inactive,
ZINC02948891,Inactive,
ZINC02968854,Inactive,
ZINC02975721,Inactive,
ZINC03031896,Inactive,
ZINC03053843,Inactive,
ZINC03079739,Inactive,
ZINC03088978,Inactive,
ZINC03146728,Inactive,
ZINC03220855,Inactive,
ZINC03251112,Inactive,
ZINC03301280,Inactive,
ZINC03306007,Inactive,
ZINC03456346,Inactive,
ZINC03618727,Inactive,
ZINC03618731,Inactive,
ZINC03619244,Inactive,
ZINC03861035,Inactive,
ZINC03870533,Inactive,
ZINC03982221,Inactive,
ZINC04018262,Inactive,
ZINC04018612,Inactive,
ZINC04027167,Inactive,
ZINC04044940,Inactive,
ZINC04044961,Inactive,
ZINC04048486,Inactive,
ZINC04068527,Inactive,
ZINC04068624,Inactive,
ZINC04068803,Inactive,
ZINC04068807,Inactive,
ZINC04068896,Inactive,
ZINC04068965,Inactive,
ZINC04089857,Inactive,
ZINC04118420,Inactive,
ZINC04147416,Inactive,
ZINC04184009,Inactive,
ZINC04191127,Inactive,
ZINC04208877,Inactive,
ZINC04208883,Inactive,
ZINC04211827,Inactive,
ZINC04213341,Inactive,
ZINC04218922,Inactive,
ZINC04221645,Inactive,
ZINC04237038,Inactive,
ZINC04261189,Inactive,
ZINC04282272,Inactive,
ZINC04287276,Inactive,
ZINC04335854,Inactive,
ZINC04344144,Inactive,
ZINC04346153,Inactive,
ZINC04354636,Inactive,
ZINC04458647,Inactive,
ZINC04484376,Inactive,
ZINC04527622,Inactive,
ZINC04664468,Inactive,
ZINC04691868,Inactive,
ZINC04768957,Inactive,
ZINC04787370,Inactive,
ZINC04791962,Inactive,
ZINC04830822,Inactive,
ZINC04836833,Inactive,
ZINC04877106,Inactive,
ZINC04917380,Inactive,
ZINC04974923,Inactive,
ZINC04990461,Inactive,
ZINC05040294,Inactive,
ZINC05063018,Inactive,
ZINC05085714,Inactive,
ZINC05085717,Inactive,
ZINC05085724,Inactive,
ZINC05105597,Inactive,
ZINC05185538,Inactive,
ZINC05440405,Inactive,
ZINC05478286,Inactive,
ZINC05519412,Inactive,
ZINC05542161,Inactive,
ZINC05582109,Inactive,
ZINC05724358,Inactive,
ZINC05731846,Inactive,
ZINC05742097,Inactive,
ZINC05839992,Inactive,
ZINC05848101,Inactive,
ZINC05889125,Inactive,
ZINC05923493,Inactive,
ZINC06005114,Inactive,
ZINC06041023,Inactive,
ZINC06041760,Inactive,
ZINC06056704,Inactive,
ZINC06089726,Inactive,
ZINC06090010,Inactive,
ZINC06090013,Inactive,
ZINC06093328,Inactive,
ZINC06135758,Inactive,
ZINC06146207,Inactive,
ZINC06146432,Inactive,
ZINC06196126,Inactive,
ZINC06229189,Inactive,
ZINC06273829,Inactive,
ZINC06301345,Inactive,
ZINC06332220,Inactive,
ZINC06449823,Inactive,
ZINC06458914,Inactive,
ZINC06462149,Inactive,
ZINC06472007,Inactive,
ZINC06488750,Inactive,
ZINC06501978,Inactive,
ZINC06511955,Inactive,
ZINC06585087,Inactive,
ZINC06601669,Inactive,
ZINC06635576,Inactive,
ZINC06759227,Inactive,
ZINC06826497,Inactive,
ZINC06906532,Inactive,
ZINC06924825,Inactive,
ZINC06973610,Inactive,
ZINC07078855,Inactive,
ZINC07201436,Inactive,
ZINC07431491,Inactive,
ZINC07797262,Inactive,
ZINC08214783,Inactive,
ZINC08384594,Inactive,
ZINC08396775,Inactive,
ZINC08396840,Inactive,
ZINC08396923,Inactive,
ZINC08397414,Inactive,
ZINC08398330,Inactive,
ZINC08398512,Inactive,
ZINC08399384,Inactive,
ZINC08416933,Inactive,
ZINC08417281,Inactive,
ZINC08427025,Inactive,
ZINC08427376,Inactive,
ZINC08430066,Inactive,
ZINC08431760,Inactive,
ZINC08435200,Inactive,
ZINC08438023,Inactive,
ZINC08439511,Inactive,
ZINC08441578,Inactive,
ZINC08444441,Inactive,
ZINC08445202,Inactive,
ZINC08445208,Inactive,
ZINC08446445,Inactive,
ZINC08446446,Inactive,
ZINC08452651,Inactive,
ZINC08453601,Inactive,
ZINC08453602,Inactive,
ZINC08465495,Inactive,
ZINC08670784,Inactive,
ZINC08696038,Inactive,
ZINC08722037,Inactive,
ZINC08794787,Inactive,
ZINC08796497,Inactive,
ZINC08870583,Inactive,
ZINC08871047,Inactive,
ZINC08947688,Inactive,
ZINC09135243,Inactive,
ZINC09253878,Inactive,
ZINC09269556,Inactive,
ZINC09269583,Inactive,
ZINC09269677,Inactive,
ZINC09273759,Inactive,
ZINC09354187,Inactive,
ZINC09374527,Inactive,
ZINC09425590,Inactive,
ZINC09461105,Inactive,
ZINC09561969,Inactive,
ZINC09572526,Inactive,
ZINC09589880,Inactive,
ZINC09598434,Inactive,
ZINC09598435,Inactive,
ZINC09674205,Inactive,
ZINC09680692,Inactive,
ZINC09696884,Inactive,
ZINC09742257,Inactive,
ZINC09812701,Inactive,
ZINC09852290,Inactive,
ZINC09854850,Inactive,
ZINC09874745,Inactive,
ZINC09897308,Inactive,
ZINC09897457,Inactive,
ZINC09908065,Inactive,
ZINC09908066,Inactive,
ZINC09967372,Inactive,
ZINC09968753,Inactive,
ZINC10059925,Inactive,
ZINC10194879,Inactive,
ZINC10219314,Inactive,
ZINC10261056,Inactive,
ZINC10477205,Inactive,
ZINC10478975,Inactive,
ZINC10535630,Inactive,
ZINC10536068,Inactive,
ZINC10547456,Inactive,
ZINC10626372,Inactive,
ZINC10660501,Inactive,
ZINC10729513,Inactive,
ZINC10823448,Inactive,
ZINC11298007,Inactive,
ZINC11305343,Inactive,
ZINC11387024,Inactive,
ZINC11526506,Inactive,
ZINC11527065,Inactive,
ZINC11708729,Inactive,
ZINC11854701,Inactive,
ZINC12005545,Inactive,
ZINC12042566,Inactive,
ZINC12137693,Inactive,
ZINC12190023,Inactive,
ZINC12475445,Inactive,
ZINC12525161,Inactive,
ZINC12528835,Inactive,
ZINC12529047,Inactive,
ZINC12531277,Inactive,
ZINC12547571,Inactive,
ZINC12554611,Inactive,
ZINC12573487,Inactive,
ZINC12647582,Inactive,
ZINC12658489,Inactive,
ZINC12900885,Inactive,
ZINC12927653,Inactive,
ZINC13039564,Inactive,
ZINC13128676,Inactive,
ZINC13140273,Inactive,
ZINC13364613,Inactive,
ZINC13501233,Inactive,
ZINC13527788,Inactive,
ZINC13617037,Inactive,
ZINC13618392,Inactive,
ZINC13624700,Inactive,
ZINC13624798,Inactive,
ZINC13634270,Inactive,
ZINC13678272,Inactive,
ZINC13744227,Inactive,
ZINC13749384,Inactive,
ZINC13749516,Inactive,
ZINC13855035,Inactive,
ZINC13940522,Inactive,
ZINC13967958,Inactive,
ZINC13968079,Inactive,
ZINC13978994,Inactive,
ZINC13997519,Inactive,
ZINC14036856,Inactive,
ZINC14040575,Inactive,
ZINC14041889,Inactive,
ZINC14157902,Inactive,
ZINC14158209,Inactive,
ZINC14159094,Inactive,
ZINC14159107,Inactive,
ZINC14410576,Inactive,
ZINC14442081,Inactive,
ZINC14442112,Inactive,
ZINC14447974,Inactive,
ZINC14524883,Inactive,
ZINC14533637,Inactive,
ZINC14569535,Inactive,
ZINC14580448,Inactive,
ZINC14581178,Inactive,
ZINC14651400,Inactive,
ZINC14793163,Inactive,
ZINC14831549,Inactive,
ZINC14892028,Inactive,
ZINC14908107,Inactive,
ZINC14942987,Inactive,
ZINC14943027,Inactive,
ZINC14943028,Inactive,
ZINC14943131,Inactive,
ZINC14943132,Inactive,
ZINC14943513,Inactive,
ZINC14943516,Inactive,
ZINC14943519,Inactive,
ZINC14944100,Inactive,
ZINC14944102,Inactive,
ZINC14944841,Inactive,
ZINC14946117,Inactive,
ZINC14946120,Inactive,
ZINC14946679,Inactive,
ZINC14946736,Inactive,
ZINC14946790,Inactive,
ZINC14947144,Inactive,
ZINC14947918,Inactive,
ZINC14949517,Inactive,
ZINC14949593,Inactive,
ZINC14951327,Inactive,
ZINC14951356,Inactive,
ZINC14957098,Inactive,
ZINC14965985,Inactive,
ZINC14971543,Inactive,
ZINC14971782,Inactive,
ZINC14971791,Inactive,
ZINC14978244,Inactive,
ZINC14978278,Inactive,
ZINC15042611,Inactive,
ZINC15043886,Inactive,
ZINC15166886,Inactive,
ZINC15166889,Inactive,
ZINC15228296,Inactive,
ZINC15348831,Inactive,
ZINC15441397,Inactive,
ZINC15495744,Inactive,
ZINC15535327,Inactive,
ZINC15548292,Inactive,
ZINC15776990,Inactive,
ZINC15800320,Inactive,
ZINC15808232,Inactive,
ZINC15826142,Inactive,
ZINC15840826,Inactive,
ZINC15887943,Inactive,
ZINC15909500,Inactive,
ZINC15995205,Inactive,
ZINC16019388,Inactive,
ZINC16052279,Inactive,
ZINC16052448,Inactive,
ZINC16217093,Inactive,
ZINC16219248,Inactive,
ZINC16225448,Inactive,
ZINC16333521,Inactive,
ZINC16346345,Inactive,
ZINC16346348,Inactive,
ZINC16665507,Inactive,
ZINC16673672,Inactive,
ZINC16675728,Inactive,
ZINC16795075,Inactive,
ZINC16855039,Inactive,
ZINC16884655,Inactive,
ZINC16884844,Inactive,
ZINC16885100,Inactive,
ZINC16909035,Inactive,
ZINC17109079,Inactive,
ZINC17157938,Inactive,
ZINC17306969,Inactive,
ZINC17307080,Inactive,
ZINC17307222,Inactive,
ZINC17307412,Inactive,
ZINC17315510,Inactive,
ZINC17352942,Inactive,
ZINC17361077,Inactive,
ZINC17418626,Inactive,
ZINC17654019,Inactive,
ZINC17965722,Inactive,
ZINC18052854,Inactive,
ZINC18181130,Inactive,
ZINC18773252,Inactive,
ZINC18953806,Inactive,
ZINC18980873,Inactive,
ZINC19314297,Inactive,
ZINC19325977,Inactive,
ZINC19430371,Inactive,
ZINC19473099,Inactive,
ZINC19636832,Inactive,
ZINC19637009,Inactive,
ZINC19901146,Inactive,
ZINC19995368,Inactive,
ZINC20036827,Inactive,
ZINC20058757,Inactive,
ZINC20080879,Inactive,
ZINC20082721,Inactive,
ZINC20102969,Inactive,
ZINC20136249,Inactive,
ZINC20171717,Inactive,
ZINC20292462,Inactive,
ZINC20329068,Inactive,
ZINC20375512,Inactive,
ZINC20424438,Inactive,
ZINC20424653,Inactive,
ZINC20424718,Inactive,
ZINC20424784,Inactive,
ZINC20424794,Inactive,
ZINC20425025,Inactive,
ZINC20425082,Inactive,
ZINC20425146,Inactive,
ZINC20425174,Inactive,
ZINC20644548,Inactive,
ZINC20832343,Inactive,
ZINC20832822,Inactive,
ZINC20836496,Inactive,
ZINC20837977,Inactive,
ZINC20856666,Inactive,
ZINC20863232,Inactive,
ZINC20904998,Inactive,
ZINC20907043,Inactive,
ZINC20910626,Inactive,
ZINC20911014,Inactive,
ZINC20912448,Inactive,
ZINC20917497,Inactive,
ZINC20918144,Inactive,
ZINC20920275,Inactive,
ZINC20958888,Inactive,
ZINC21036914,Inactive,
ZINC21038552,Inactive,
ZINC21039487,Inactive,
ZINC21075855,Inactive,
ZINC21079972,Inactive,
ZINC21080349,Inactive,
ZINC21080705,Inactive,
ZINC21080913,Inactive,
ZINC21081607,Inactive,
ZINC21082182,Inactive,
ZINC21082198,Inactive,
ZINC21082202,Inactive,
ZINC21152163,Inactive,
ZINC21159191,Inactive,
ZINC21230886,Inactive,
ZINC21320823,Inactive,
ZINC21320843,Inactive,
ZINC21325573,Inactive,
ZINC21353348,Inactive,
ZINC21457061,Inactive,
ZINC21646031,Inactive,
ZINC21849737,Inactive,
ZINC21860587,Inactive,
ZINC21861440,Inactive,
ZINC21907088,Inactive,
ZINC21955661,Inactive,
ZINC21968645,Inactive,
ZINC22057395,Inactive,
ZINC22091254,Inactive,
ZINC22248515,Inactive,
ZINC22361566,Inactive,
ZINC22418668,Inactive,
ZINC22447045,Inactive,
ZINC22450541,Inactive,
ZINC22471839,Inactive,
ZINC22541350,Inactive,
ZINC22585412,Inactive,
ZINC22623732,Inactive,
ZINC22678052,Inactive,
ZINC22834799,Inactive,
ZINC22902141,Inactive,
ZINC23050247,Inactive,
ZINC23058892,Inactive,
ZINC23140308,Inactive,
ZINC23154646,Inactive,
ZINC23208799,Inactive,
ZINC23340020,Inactive,
ZINC23370373,Inactive,
ZINC23400421,Inactive,
ZINC23511425,Inactive,
ZINC23555445,Inactive,
ZINC23802442,Inactive,
ZINC23875875,Inactive,
ZINC23966789,Inactive,
ZINC23966824,Inactive,
ZINC24002093,Inactive,
ZINC24014076,Inactive,
